DEFAULT	DEFAULT	DEFAULT	DEFAULT	DEFAULT	DEFAULT	DEFAULT	DEFAULT	DEFAULT	DEFAULT	DEFAULT
            TIME	TIME	ANG_X	ANG_Y	ANG_Z	VEL_X	VEL_Y	VEL_Z	ACC_X	ACC_Y	ACC_Z
            FRAME_NUMBERS	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG
            ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
        ITEM	0	0	x	x	x	x	x	x	x	x	x
1 2.24 224 0.372 -0.393 -0.268 -0.005 -0.009 0.021 0.080 -0.635 -0.091
1 2.25 225 0.368 -0.405 -0.281 -0.007 -0.022 -0.022 -0.178 -1.315 -4.323
1 2.26 226 0.375 -0.390 -0.228 0.013 0.027 0.092 1.944 4.863 11.456
1 2.27 227 0.385 -0.390 -0.210 0.017 0.001 0.031 0.385 -2.622 -6.163
1 2.28 228 0.380 -0.390 -0.209 -0.008 -0.001 0.002 -2.443 -0.123 -2.902
1 2.29 229 0.385 -0.395 -0.175 0.009 -0.009 0.059 1.673 -0.882 5.773
1 2.30 230 0.390 -0.412 -0.103 0.008 -0.029 0.126 -0.064 -1.970 6.679
1 2.31 231 0.401 -0.402 -0.074 0.019 0.017 0.050 1.024 4.578 -7.581
1 2.32 232 0.413 -0.404 -0.059 0.022 -0.002 0.025 0.313 -1.906 -2.502
1 2.33 233 0.425 -0.388 -0.006 0.020 0.027 0.093 -0.126 2.981 6.783
1 2.34 234 0.437 -0.383 -0.011 0.022 0.008 -0.008 0.145 -1.940 -10.176
1 2.35 235 0.451 -0.384 -0.043 0.024 -0.002 -0.056 0.218 -0.999 -4.758
1 2.36 236 0.471 -0.386 -0.116 0.035 -0.003 -0.129 1.116 -0.096 -7.247
1 2.37 237 0.528 -0.400 -0.173 0.100 -0.025 -0.100 6.474 -2.203 2.894
